y,Company,ReviewDate,CocoaPercent,CompanyLocation,BeanType,BeanOrigin
3.75,18.0,2016.0,70.0,56.0,12.0,18.0
3.0,125.0,2008.0,70.0,29.0,12.0,9.0
4.0,337.0,2016.0,70.0,2.0,6.0,19.0
3.5,259.0,2015.0,63.0,14.0,12.0,19.0
3.0,4.0,2009.0,70.0,14.0,8.0,19.0
3.25,270.0,2014.0,75.0,56.0,8.0,46.0
3.5,273.0,2015.0,70.0,56.0,11.0,37.0
2.5,199.0,2014.0,72.5,56.0,12.0,19.0
3.25,103.0,2010.0,72.0,19.0,11.0,34.0
3.5,76.0,2011.0,70.0,18.0,12.0,63.0
3.0,285.0,2009.0,70.0,54.0,8.0,10.0
3.5,86.0,2015.0,68.0,0.0,8.0,10.0
3.5,174.0,2014.0,67.0,56.0,0.0,3.0
2.75,188.0,2015.0,63.0,11.0,11.0,37.0
2.25,319.0,2012.0,76.0,24.0,11.0,67.0
3.75,229.0,2015.0,72.0,56.0,12.0,12.0
3.75,343.0,2013.0,70.0,7.0,6.0,67.0
2.0,216.0,2015.0,75.0,56.0,12.0,41.0
3.25,198.0,2014.0,72.0,56.0,12.0,18.0
3.25,131.0,2016.0,75.0,56.0,12.0,30.0
2.75,109.0,2017.0,72.0,56.0,12.0,18.0
3.5,363.0,2012.0,70.0,56.0,12.0,18.0
3.0,334.0,2011.0,68.0,29.0,6.0,9.0
4.0,174.0,2016.0,72.0,56.0,2.0,3.0
3.5,404.0,2014.0,75.0,56.0,11.0,37.0
3.5,35.0,2008.0,75.0,56.0,12.0,44.0
3.5,103.0,2009.0,70.0,19.0,6.0,67.0
3.75,156.0,2012.0,70.0,12.0,12.0,41.0
3.25,40.0,2014.0,75.0,18.0,12.0,18.0
3.5,212.0,2012.0,68.0,56.0,6.0,3.0
3.75,157.0,2014.0,70.0,56.0,11.0,60.0
3.0,193.0,2008.0,85.0,14.0,12.0,19.0
3.75,87.0,2015.0,69.0,46.0,8.0,46.0
3.5,231.0,2015.0,70.0,56.0,11.0,19.0
2.0,302.0,2009.0,75.0,18.0,12.0,67.0
3.25,399.0,2012.0,90.0,3.0,12.0,3.0
2.75,238.0,2012.0,73.0,56.0,11.0,67.0
3.0,346.0,2012.0,80.0,56.0,12.0,18.0
3.5,155.0,2014.0,70.0,56.0,8.0,46.0
3.5,18.0,2015.0,68.0,56.0,8.0,46.0
3.25,122.0,2014.0,72.0,55.0,12.0,44.0
2.75,404.0,2011.0,73.0,56.0,12.0,18.0
2.75,165.0,2009.0,60.0,21.0,11.0,25.0
3.5,8.0,2017.0,70.0,35.0,11.0,68.0
3.0,270.0,2014.0,75.0,56.0,11.0,2.0
2.75,6.0,2010.0,75.0,54.0,6.0,37.0
3.0,44.0,2015.0,60.0,56.0,12.0,18.0
2.75,168.0,2014.0,74.0,7.0,12.0,63.0
3.75,302.0,2006.0,75.0,18.0,6.0,37.0
3.25,390.0,2013.0,75.0,27.0,6.0,46.0
4.0,247.0,2006.0,67.0,18.0,12.0,18.0
3.75,43.0,2015.0,68.0,56.0,12.0,18.0
3.0,372.0,2014.0,72.0,56.0,12.0,18.0
3.0,137.0,2008.0,61.0,57.0,6.0,67.0
3.25,183.0,2012.0,70.0,56.0,12.0,18.0
3.75,263.0,2013.0,70.0,31.0,12.0,60.0
3.5,117.0,2007.0,77.0,56.0,12.0,18.0
2.0,247.0,2006.0,60.0,18.0,12.0,63.0
3.5,68.0,2016.0,65.0,9.0,5.0,9.0
3.0,33.0,2011.0,64.0,54.0,11.0,37.0
3.25,311.0,2016.0,75.0,18.0,6.0,46.0
3.0,379.0,2007.0,72.0,18.0,3.0,67.0
1.5,62.0,2008.0,91.0,14.0,8.0,19.0
4.0,302.0,2006.0,75.0,18.0,11.0,34.0
3.0,0.0,2013.0,70.0,18.0,6.0,37.0
3.25,29.0,2016.0,70.0,56.0,12.0,3.0
3.75,273.0,2015.0,70.0,56.0,8.0,23.0
3.25,231.0,2016.0,75.0,56.0,11.0,68.0
3.0,212.0,2012.0,74.0,56.0,12.0,18.0
3.25,35.0,2010.0,75.0,56.0,12.0,32.0
2.75,381.0,2009.0,80.0,32.0,11.0,37.0
2.75,322.0,2012.0,83.0,56.0,12.0,8.0
3.75,6.0,2011.0,75.0,54.0,11.0,32.0
3.5,231.0,2015.0,70.0,56.0,12.0,41.0
3.25,86.0,2015.0,75.0,0.0,11.0,18.0
2.75,69.0,2013.0,70.0,56.0,6.0,46.0
2.75,327.0,2015.0,70.0,55.0,12.0,25.0
3.5,167.0,2007.0,72.0,56.0,3.0,63.0
3.75,181.0,2011.0,72.0,54.0,6.0,67.0
3.75,399.0,2012.0,70.0,3.0,12.0,18.0
3.25,174.0,2016.0,70.0,56.0,0.0,2.0
3.25,238.0,2015.0,74.0,56.0,12.0,57.0
2.5,380.0,2012.0,72.0,56.0,8.0,23.0
3.0,244.0,2015.0,70.0,23.0,12.0,20.0
3.75,285.0,2011.0,66.0,54.0,12.0,3.0
4.0,147.0,2006.0,68.0,54.0,6.0,3.0
4.0,294.0,2009.0,75.0,56.0,11.0,37.0
3.5,305.0,2013.0,85.0,6.0,12.0,4.0
3.5,0.0,2012.0,70.0,18.0,12.0,3.0
3.25,235.0,2010.0,65.0,56.0,12.0,42.0
3.0,324.0,2009.0,70.0,9.0,8.0,9.0
3.25,43.0,2013.0,70.0,56.0,12.0,19.0
3.75,177.0,2009.0,75.0,28.0,12.0,18.0
3.5,29.0,2016.0,70.0,56.0,6.0,57.0
2.75,299.0,2015.0,80.0,56.0,12.0,41.0
3.0,237.0,2016.0,82.0,3.0,12.0,28.0
2.75,63.0,2008.0,60.0,4.0,11.0,25.0
3.25,272.0,2012.0,80.0,38.0,8.0,19.0
3.5,343.0,2011.0,70.0,7.0,6.0,67.0
4.0,343.0,2013.0,70.0,7.0,6.0,67.0
3.75,337.0,2016.0,67.0,2.0,12.0,1.0
2.5,193.0,2008.0,85.0,14.0,12.0,19.0
3.25,343.0,2016.0,70.0,7.0,12.0,19.0
4.0,14.0,2007.0,75.0,29.0,3.0,63.0
3.5,220.0,2013.0,70.0,56.0,12.0,4.0
2.75,220.0,2013.0,70.0,56.0,12.0,49.0
3.25,49.0,2014.0,72.0,56.0,11.0,2.0
2.75,19.0,2009.0,72.0,55.0,11.0,32.0
3.75,19.0,2008.0,72.0,55.0,8.0,10.0
3.0,396.0,2015.0,60.0,56.0,12.0,63.0
3.25,364.0,2014.0,77.0,56.0,12.0,19.0
3.5,46.0,2014.0,70.0,2.0,12.0,18.0
3.75,326.0,2010.0,65.0,56.0,11.0,37.0
2.75,261.0,2016.0,68.0,56.0,12.0,37.0
3.0,303.0,2014.0,75.0,55.0,8.0,19.0
3.5,393.0,2011.0,70.0,56.0,12.0,18.0
3.0,176.0,2009.0,72.0,14.0,8.0,19.0
3.75,174.0,2014.0,67.0,56.0,12.0,29.0
3.0,64.0,2016.0,75.0,56.0,12.0,3.0
3.5,62.0,2008.0,63.0,14.0,8.0,19.0
3.0,391.0,2010.0,71.0,55.0,11.0,37.0
3.0,343.0,2009.0,70.0,7.0,8.0,18.0
3.0,110.0,2015.0,70.0,55.0,11.0,60.0
3.5,164.0,2016.0,70.0,30.0,12.0,37.0
3.0,399.0,2012.0,75.0,3.0,6.0,45.0
2.5,236.0,2013.0,89.0,56.0,12.0,18.0
3.0,232.0,2016.0,70.0,39.0,12.0,46.0
2.5,248.0,2013.0,75.0,56.0,12.0,18.0
3.25,167.0,2013.0,65.0,56.0,11.0,34.0
3.5,238.0,2011.0,72.0,56.0,12.0,63.0
4.0,247.0,2006.0,65.0,18.0,11.0,37.0
3.0,386.0,2015.0,77.0,56.0,6.0,2.0
3.5,39.0,2016.0,82.0,56.0,11.0,37.0
2.75,303.0,2015.0,80.0,55.0,12.0,30.0
4.0,31.0,2011.0,72.0,4.0,11.0,32.0
2.5,165.0,2008.0,71.0,21.0,11.0,25.0
3.75,203.0,2009.0,60.0,18.0,12.0,63.0
3.5,0.0,2013.0,70.0,18.0,12.0,46.0
3.25,56.0,2011.0,65.0,56.0,12.0,18.0
3.0,39.0,2016.0,75.0,56.0,12.0,18.0
